customer_id,gender,past_3_years_bike_related_purchases,job_industry_category,wealth_segment,owns_car,tenure,Age,state,property_valuation,sales_profit
1,1,93,1.0,1,1,11.0,64.0,2.0,10.0,274.3718181818181
2,0,81,2.0,1,1,16.0,37.0,2.0,10.0,742.0866666666667
3,0,61,3.0,1,1,15.0,63.0,2.0,7.0,420.35125
4,0,33,4.0,1,0,7.0,56.0,1.0,9.0,110.285
5,1,56,7.0,2,1,8.0,40.0,2.0,4.0,399.1566666666667
6,0,35,5.0,3,1,13.0,51.0,3.0,9.0,789.3100000000001
7,1,6,2.0,2,1,11.0,41.0,2.0,9.0,73.37
8,0,31,7.0,1,0,7.0,55.0,2.0,4.0,706.694
9,1,97,6.0,2,1,8.0,44.0,2.0,12.0,392.185
10,1,49,2.0,1,1,20.0,29.0,2.0,7.0,671.656
11,0,99,3.0,1,0,9.0,63.0,3.0,8.0,606.4733333333332
12,0,58,7.0,1,0,8.0,23.0,1.0,4.0,505.7185714285714
13,0,38,2.0,3,1,8.0,62.0,3.0,6.0,619.6257142857143
14,1,85,2.0,2,0,6.0,34.0,2.0,8.0,571.3000000000001
15,0,91,7.0,1,0,1.0,17.0,2.0,9.0,288.065
16,0,38,7.0,1,1,18.0,40.0,3.0,4.0,904.368
17,0,57,7.0,2,1,15.0,55.0,3.0,9.0,403.122
18,1,79,7.0,2,0,11.0,50.0,2.0,12.0,506.1971428571428
19,1,76,7.0,3,0,1.0,16.0,2.0,9.0,983.93
20,0,72,7.0,1,0,11.0,37.0,2.0,8.0,902.0699999999999
21,0,74,7.0,2,1,16.0,37.0,2.0,7.0,845.882
22,1,79,4.0,1,0,11.0,55.0,2.0,7.0,644.98
23,0,43,7.0,3,1,1.0,22.0,2.0,7.0,729.3583333333335
24,1,55,6.0,1,1,15.0,40.0,2.0,10.0,527.05
25,0,72,2.0,1,1,21.0,41.0,1.0,3.0,444.47166666666675
26,1,12,2.0,1,1,16.0,39.0,1.0,5.0,134.12
27,0,37,1.0,1,1,12.0,39.0,3.0,7.0,467.75000000000006
28,0,5,1.0,2,1,21.0,44.0,1.0,4.0,561.0933333333332
29,1,62,7.0,1,0,19.0,49.0,1.0,7.0,686.1444444444444
30,0,18,4.0,2,1,6.0,56.0,2.0,11.0,877.9833333333332
31,1,3,8.0,3,1,14.0,55.0,2.0,12.0,106.5275
32,1,17,7.0,2,0,4.0,22.0,2.0,9.0,403.30285714285714
33,0,44,7.0,2,1,11.0,60.0,2.0,9.0,756.3242857142858
35,1,40,1.0,3,1,16.0,54.0,1.0,6.0,926.6275
36,1,33,7.0,2,0,22.0,40.0,2.0,8.0,102.18
37,1,46,1.0,3,0,16.0,32.0,1.0,1.0,704.2766666666666
38,1,37,2.0,2,0,20.0,62.0,1.0,4.0,506.3349999999999
39,0,5,9.0,1,0,22.0,38.0,2.0,10.0,507.0975
40,1,91,7.0,2,0,14.0,36.0,2.0,8.0,758.6833333333334
41,0,64,1.0,1,0,16.0,41.0,3.0,9.0,522.0988888888888
42,1,24,7.0,1,0,18.0,40.0,3.0,10.0,106.76
43,1,38,5.0,1,0,5.0,34.0,1.0,8.0,402.2166666666667
44,0,63,9.0,2,1,17.0,36.0,1.0,2.0,681.1828571428571
45,0,64,2.0,1,0,8.0,42.0,2.0,3.0,349.3833333333334
46,1,98,7.0,2,1,15.0,45.0,3.0,6.0,324.726
47,0,51,1.0,2,0,2.0,25.0,2.0,4.0,618.8842857142857
48,1,46,7.0,1,1,8.0,42.0,3.0,9.0,695.135
49,0,63,7.0,2,0,1.0,23.0,2.0,9.0,849.7360000000001
50,0,38,7.0,1,1,16.0,37.0,2.0,10.0,722.9575
51,0,68,5.0,1,0,18.0,58.0,1.0,5.0,606.925
52,0,57,2.0,1,1,13.0,29.0,2.0,8.0,902.9716666666667
53,1,22,2.0,1,0,16.0,63.0,1.0,3.0,590.014
54,1,2,3.0,1,1,18.0,51.0,2.0,8.0,585.4585714285715
55,0,48,2.0,2,1,7.0,61.0,2.0,10.0,402.6075
56,0,44,3.0,1,1,4.0,21.0,2.0,10.0,182.17714285714285
57,0,87,7.0,1,1,13.0,29.0,1.0,6.0,852.9933333333333
