customer_id,gender,past_3_years_bike_related_purchases,job_industry_category,wealth_segment,owns_car,tenure,Age
1,1,93,1.0,1,1,11.0,64.0
2,0,81,2.0,1,1,16.0,37.0
3,0,61,3.0,1,1,15.0,63.0
4,0,33,4.0,1,0,7.0,56.0
5,1,56,,2,1,8.0,40.0
6,0,35,5.0,3,1,13.0,51.0
7,1,6,2.0,2,1,11.0,41.0
8,0,31,,1,0,7.0,55.0
9,1,97,6.0,2,1,8.0,44.0
10,1,49,2.0,1,1,20.0,29.0
11,0,99,3.0,1,0,9.0,63.0
12,0,58,7.0,1,0,8.0,23.0
13,0,38,2.0,3,1,8.0,62.0
14,1,85,2.0,2,0,6.0,34.0
15,0,91,7.0,1,0,1.0,17.0
16,0,38,,1,1,18.0,40.0
17,0,57,,2,1,15.0,55.0
18,1,79,,2,0,11.0,50.0
19,1,76,7.0,3,0,1.0,16.0
20,0,72,7.0,1,0,11.0,37.0
21,0,74,7.0,2,1,16.0,37.0
22,1,79,4.0,1,0,11.0,55.0
23,0,43,,3,1,1.0,22.0
24,1,55,6.0,1,1,15.0,40.0
25,0,72,2.0,1,1,21.0,41.0
26,1,12,2.0,1,1,16.0,39.0
27,0,37,1.0,1,1,12.0,39.0
28,0,5,1.0,2,1,21.0,44.0
29,1,62,7.0,1,0,19.0,49.0
30,0,18,4.0,2,1,6.0,56.0
31,1,3,8.0,3,1,14.0,55.0
32,1,17,7.0,2,0,4.0,22.0
33,0,44,,2,1,11.0,60.0
35,1,40,1.0,3,1,16.0,54.0
36,1,33,,2,0,22.0,40.0
37,1,46,1.0,3,0,16.0,32.0
38,1,37,2.0,2,0,20.0,62.0
39,0,5,9.0,1,0,22.0,38.0
40,1,91,7.0,2,0,14.0,36.0
41,0,64,1.0,1,0,16.0,41.0
42,1,24,7.0,1,0,18.0,40.0
43,1,38,5.0,1,0,5.0,34.0
44,0,63,9.0,2,1,17.0,36.0
45,0,64,2.0,1,0,8.0,42.0
46,1,98,,2,1,15.0,45.0
47,0,51,1.0,2,0,2.0,25.0
48,1,46,,1,1,8.0,42.0
49,0,63,,2,0,1.0,23.0
50,0,38,7.0,1,1,16.0,37.0
51,0,68,5.0,1,0,18.0,58.0
52,0,57,2.0,1,1,13.0,29.0
53,1,22,2.0,1,0,16.0,63.0
54,1,2,3.0,1,1,18.0,51.0
55,0,48,2.0,2,1,7.0,61.0
56,0,44,3.0,1,1,4.0,21.0
57,0,87,,1,1,13.0,29.0
58,1,26,2.0,2,1,17.0,50.0
59,0,60,,3,0,3.0,17.0
60,1,18,7.0,1,0,10.0,47.0
61,1,47,3.0,3,0,13.0,58.0
62,1,38,4.0,1,1,22.0,38.0
63,1,58,5.0,1,1,16.0,52.0
64,0,73,4.0,3,0,4.0,39.0
65,0,21,2.0,2,1,15.0,41.0
66,0,46,6.0,3,0,1.0,15.0
67,0,67,5.0,1,0,18.0,57.0
68,1,37,,2,0,9.0,43.0
69,1,16,,1,0,6.0,48.0
70,0,78,2.0,2,0,8.0,24.0
71,0,30,6.0,2,1,12.0,32.0
72,0,93,7.0,2,1,16.0,45.0
73,1,16,,2,1,5.0,57.0
74,1,94,,1,1,6.0,48.0
75,1,28,3.0,1,0,19.0,39.0
76,1,20,5.0,3,1,18.0,39.0
77,0,79,2.0,1,0,7.0,28.0
78,0,37,6.0,2,0,8.0,32.0
79,1,76,7.0,1,0,18.0,49.0
80,0,11,9.0,1,0,13.0,39.0
81,1,58,1.0,3,0,13.0,31.0
82,1,93,3.0,3,0,19.0,52.0
83,0,97,4.0,1,1,18.0,50.0
84,0,78,,1,1,14.0,59.0
85,0,1,,1,0,8.0,59.0
86,0,75,1.0,3,1,7.0,28.0
87,0,78,2.0,1,0,8.0,43.0
88,1,41,3.0,3,1,7.0,51.0
89,0,74,1.0,1,1,14.0,50.0
90,0,76,7.0,1,0,11.0,33.0
91,0,69,2.0,2,1,17.0,62.0
92,1,98,1.0,1,0,12.0,37.0
93,0,63,5.0,1,1,10.0,41.0
94,0,33,7.0,1,0,21.0,43.0
95,1,67,7.0,2,1,8.0,57.0
96,0,33,7.0,1,0,15.0,49.0
97,0,16,2.0,1,1,10.0,38.0
98,1,19,1.0,1,0,7.0,61.0
99,0,97,2.0,1,0,3.0,19.0
100,0,80,2.0,1,1,4.0,49.0
101,0,83,7.0,3,0,11.0,42.0
102,0,51,7.0,2,0,16.0,61.0
103,1,49,2.0,2,1,4.0,20.0
104,1,40,1.0,1,1,9.0,39.0
105,1,25,7.0,1,0,1.0,16.0
106,0,54,1.0,3,1,18.0,51.0
107,1,97,2.0,1,1,9.0,27.0
108,1,4,,3,0,3.0,23.0
109,0,16,,2,1,4.0,39.0
110,0,23,2.0,2,0,1.0,17.0
111,1,65,,1,0,2.0,24.0
112,1,88,5.0,3,0,12.0,42.0
113,0,67,,1,0,20.0,61.0
114,1,10,9.0,2,0,8.0,32.0
115,0,77,1.0,1,0,18.0,36.0
