product_id,customer_id,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,purchase_month
2,2950,0,1,1,1,2,2,71.49,53.62,2
3,3120,1,1,2,1,2,3,2091.47,388.92,5
37,402,0,1,3,1,1,2,1793.43,248.82,10
88,3135,0,1,4,1,2,2,1198.46,381.1,8
78,787,1,1,5,1,2,3,1765.3,709.48,10
25,2339,1,1,5,2,2,2,1538.99,829.65,3
22,1542,1,1,6,1,2,2,60.34,45.26,4
15,2459,0,1,6,1,2,2,1292.84,13.44,7
67,1305,0,1,1,1,2,3,1071.23,380.74,8
12,3262,1,1,6,1,2,2,1231.15,161.6,8
5,1986,0,1,2,3,1,2,574.64,459.71,1
61,2783,1,1,3,1,1,2,71.16,56.93,1
35,1243,1,1,2,1,1,2,1057.51,154.4,2
16,2717,0,1,4,1,3,1,1661.92,1479.11,9
12,247,0,1,5,1,2,3,1765.3,709.48,6
3,2961,0,1,2,1,2,3,2091.47,388.92,10
79,2426,0,1,4,1,2,2,1555.58,818.01,4
33,1842,0,1,5,1,2,1,1311.44,1167.18,6
54,2268,1,1,6,1,2,2,1292.84,13.44,4
25,3002,1,1,5,2,2,2,1538.99,829.65,1
27,1582,0,1,2,1,2,2,499.53,388.72,10
37,595,1,1,3,1,1,2,1793.43,248.82,6
37,2001,1,1,3,1,1,2,1793.43,248.82,4
82,515,0,1,5,2,2,2,1538.99,829.65,10
89,2822,0,1,6,4,2,3,1362.99,57.74,6
64,2596,0,1,2,1,2,3,1469.44,596.55,1
64,2666,1,1,2,1,2,3,1469.44,596.55,4
19,76,0,1,2,3,1,2,574.64,459.71,12
72,3368,1,1,4,1,2,2,360.4,270.3,10
91,1173,0,1,6,1,1,2,642.31,513.85,3
88,2810,1,1,4,1,2,2,1198.46,381.1,9
1,3214,0,1,5,1,2,2,1403.5,954.82,2
25,1272,0,1,5,2,2,2,1538.99,829.65,3
99,2003,1,1,2,2,1,1,1720.7,1531.42,2
0,2171,0,1,4,2,2,2,544.05,376.84,8
92,3356,0,1,6,1,2,1,1415.01,1259.36,7
14,1040,0,1,1,1,3,3,1842.92,1105.75,1
2,2916,0,1,1,1,2,2,71.49,53.62,12
12,427,0,1,6,1,2,2,1231.15,161.6,9
0,2448,1,1,4,2,2,2,544.05,376.84,11
44,2570,1,1,6,1,2,2,1769.64,108.76,5
79,3398,0,1,1,4,2,3,2083.94,675.03,5
76,488,0,0,6,1,1,2,642.31,513.85,3
46,165,0,1,1,1,1,2,1289.85,74.51,12
55,2787,1,1,2,2,2,3,1894.19,598.76,6
66,3053,0,1,1,1,2,2,1163.89,589.27,6
35,475,1,1,2,1,1,2,1057.51,154.4,5
81,1305,1,1,1,1,2,2,1151.96,649.49,6
86,1251,0,1,3,1,2,2,235.63,125.07,6
32,3103,0,1,5,1,2,2,642.7,211.37,5
77,3108,0,1,4,2,2,3,1240.31,795.1,3
96,857,0,1,5,1,2,3,1635.3,993.66,11
6,3455,1,1,3,1,3,2,227.88,136.73,12
27,2549,1,1,2,1,2,2,499.53,388.72,2
0,3140,0,1,4,1,1,2,363.01,290.41,9
47,3406,0,1,2,2,1,1,1720.7,1531.42,11
94,2294,1,1,5,1,2,3,1635.3,993.66,8
91,1031,0,1,1,1,2,2,100.35,75.26,11
93,993,1,1,3,1,3,2,1458.17,874.9,2
60,3473,0,1,5,1,3,1,1977.36,1759.85,12
0,1839,0,1,3,2,3,3,12.01,7.21,2
33,1824,1,1,5,1,2,1,1311.44,1167.18,12
35,368,0,1,5,1,2,2,1403.5,954.82,12
0,2000,0,1,2,1,2,2,499.53,388.72,7
28,825,1,1,4,1,2,1,1216.14,1082.36,5
86,3315,1,1,3,1,2,2,235.63,125.07,2
2,75,1,1,1,1,2,2,71.49,53.62,7
4,1498,1,1,5,1,3,2,1129.13,677.48,9
38,1612,1,1,2,1,2,3,2091.47,388.92,10
27,2192,1,1,2,1,2,2,499.53,388.72,5
54,419,0,1,6,1,2,2,1292.84,13.44,1
77,3307,1,1,6,1,2,2,1769.64,108.76,5
22,2430,0,1,6,1,2,2,60.34,45.26,7
56,1506,1,1,3,1,2,2,183.86,137.9,1
58,1346,0,1,3,1,2,2,912.52,141.4,6
22,927,0,1,6,1,2,2,60.34,45.26,3
50,763,0,1,6,1,2,1,175.89,131.92,6
80,2397,0,1,3,4,1,2,1073.07,933.84,11
87,102,1,1,5,1,3,2,1179,707.4,9
15,2884,0,1,4,1,1,2,958.74,748.9,12
84,759,1,1,5,2,2,2,792.9,594.68,10
21,773,1,1,1,1,2,3,1071.23,380.74,4
0,3398,1,1,3,1,2,2,235.63,125.07,4
33,3297,1,1,5,1,2,1,1311.44,1167.18,11
84,2434,1,1,2,2,2,2,290.62,215.14,2
1,1861,0,1,5,1,2,2,1403.5,954.82,7
27,1233,0,1,2,1,2,2,499.53,388.72,5
31,1390,0,1,6,1,2,2,752.64,205.36,8
0,2682,1,1,3,2,3,3,12.01,7.21,4
62,439,1,1,1,1,2,2,478.16,298.72,8
17,1579,1,1,1,1,3,2,1024.66,614.8,4
73,2984,1,1,1,1,2,2,1945.43,333.18,7
33,3470,1,1,5,1,2,1,1311.44,1167.18,11
86,1,0,1,3,1,2,2,235.63,125.07,12
45,757,0,1,1,1,2,2,441.49,84.99,2
1,1778,0,1,5,1,2,2,1403.5,954.82,2
80,211,1,1,3,4,1,2,1073.07,933.84,5
49,333,,1,2,2,2,2,533.51,400.13,6
95,32,0,1,5,1,2,3,569.56,528.43,3
0,119,0,1,1,1,2,2,478.16,298.72,7
18,2347,0,1,4,1,3,2,1148.64,689.18,7
4,2353,0,1,5,1,3,2,1129.13,677.48,4
33,788,0,1,5,1,2,1,1311.44,1167.18,11
78,1468,0,1,5,1,2,3,1765.3,709.48,9
89,821,0,1,6,4,2,3,1362.99,57.74,10
70,2489,0,1,2,1,3,2,495.72,297.43,2
79,2710,0,1,4,1,2,2,1555.58,818.01,12
26,947,1,1,6,1,2,2,1992.93,762.63,10
39,1335,1,1,5,1,2,3,1812.75,582.48,3
36,1076,0,1,1,1,1,2,945.04,507.58,11
0,3320,1,1,3,1,1,2,71.16,56.93,6
84,779,0,1,5,2,2,2,792.9,594.68,10
98,3296,1,1,2,1,3,2,358.39,215.03,6
75,455,1,1,5,4,2,3,1873.97,863.95,10
76,1779,0,1,6,1,1,2,642.31,513.85,5
72,2703,1,1,4,1,2,2,360.4,270.3,11
42,806,0,1,3,2,2,1,1810,1610.9,3
20,22,0,1,2,1,2,1,1775.81,1580.47,3
64,1591,0,1,2,1,2,3,1469.44,596.55,2
0,678,0,1,2,1,3,2,495.72,297.43,6
25,50,0,1,5,2,2,2,1538.99,829.65,12
24,1038,1,1,1,2,2,3,1777.8,820.78,12
31,1453,1,1,6,1,2,2,752.64,205.36,3
98,1339,0,1,3,1,2,2,795.34,101.58,3
22,3382,1,1,1,1,2,2,575.27,431.45,1
53,773,0,1,3,1,2,2,795.34,101.58,4
84,2503,1,1,2,2,2,2,290.62,215.14,3
25,1057,0,1,5,2,2,2,1538.99,829.65,2
50,1397,0,1,6,1,2,1,175.89,131.92,6
44,2134,0,1,6,1,2,2,1769.64,108.76,9
96,2403,1,1,6,2,1,1,1172.78,1043.77,1
12,1937,0,1,6,1,2,2,1231.15,161.6,9
93,1282,1,1,6,1,2,2,1065.03,230.09,9
78,2183,0,1,5,1,2,3,1765.3,709.48,5
84,1788,0,1,5,2,2,2,792.9,594.68,10
65,1170,1,1,6,1,2,2,1807.45,778.69,4
0,431,0,1,,,,,1942.61,,9
29,1940,0,1,6,1,2,2,1065.03,230.09,8
32,2073,0,0,5,1,3,2,1179,707.4,3
11,462,0,1,5,1,3,2,1274.93,764.96,1
10,2728,0,1,1,1,2,2,1945.43,333.18,12
46,2053,0,1,1,1,1,2,1289.85,74.51,12
60,2135,1,1,5,1,3,1,1977.36,1759.85,1
92,1217,0,1,6,4,2,3,1890.39,260.14,12
7,2992,1,1,2,2,1,2,980.37,234.43,6
41,3261,1,1,1,2,2,2,416.98,312.74,4
67,2748,1,1,4,2,2,2,544.05,376.84,4
14,3262,0,1,2,1,2,1,1386.84,1234.29,1
89,788,0,1,6,4,2,3,1362.99,57.74,3
9,3067,1,1,3,2,2,2,742.54,667.4,11
31,701,0,1,5,1,2,2,230.91,173.18,11
92,648,0,1,6,1,2,1,1415.01,1259.36,10
37,3286,1,1,3,1,1,2,1793.43,248.82,8
3,3383,1,1,2,1,2,3,2091.47,388.92,4
56,982,1,1,4,3,1,1,688.63,612.88,11
14,676,1,1,1,1,3,3,1842.92,1105.75,8
6,385,1,1,1,1,3,2,748.17,448.9,9
50,1229,1,1,6,1,2,1,175.89,131.92,3
10,3232,0,1,6,4,2,2,1466.68,363.25,8
0,3300,0,1,,,,,1656.86,,8
69,2381,0,1,5,2,2,2,792.9,594.68,7
78,371,0,1,5,1,2,3,1765.3,709.48,12
80,2519,1,1,3,4,1,2,1073.07,933.84,5
17,2264,0,1,1,1,3,2,1024.66,614.8,7
3,2637,1,1,2,1,2,3,2091.47,388.92,10
78,3262,0,1,5,1,2,3,1765.3,709.48,11
90,3177,,1,4,1,1,2,363.01,290.41,4
87,2267,0,1,5,1,3,2,1179,707.4,2
97,456,0,1,1,1,2,3,202.62,151.96,5
6,404,,1,3,1,3,2,227.88,136.73,10
100,3121,0,1,4,2,2,2,1036.59,206.35,10
55,2365,1,1,2,2,2,3,1894.19,598.76,4
100,2528,0,1,4,2,2,2,1036.59,206.35,11
10,3151,0,1,6,4,2,2,1466.68,363.25,12
25,3241,0,1,5,2,2,2,1538.99,829.65,12
74,1335,1,1,6,1,2,2,1228.07,400.91,3
90,2234,0,1,4,1,1,2,363.01,290.41,4
56,3226,1,1,3,1,2,2,183.86,137.9,7
62,1365,0,1,1,1,2,2,478.16,298.72,1
20,3349,1,1,2,1,2,1,1775.81,1580.47,3
17,1002,0,1,1,1,3,2,1024.66,614.8,2
16,2282,0,1,4,1,3,1,1661.92,1479.11,2
46,2656,0,1,1,1,1,2,1289.85,74.51,1
71,2409,1,1,1,1,3,3,1842.92,1105.75,7
91,1711,0,1,6,1,1,2,642.31,513.85,11
17,2582,1,1,1,1,3,2,1024.66,614.8,11
1,1005,1,1,5,4,2,3,1873.97,863.95,7
3,1597,1,1,2,1,2,3,2091.47,388.92,1
56,2713,1,1,3,1,2,2,183.86,137.9,1
37,1435,1,1,3,1,1,2,1793.43,248.82,11
34,1477,1,1,4,2,3,3,774.53,464.72,6
0,1614,1,1,5,1,2,2,230.91,173.18,7
12,1254,1,1,6,1,2,2,1231.15,161.6,6
25,1423,0,1,5,2,2,2,1538.99,829.65,5
81,276,0,1,4,1,2,1,586.45,521.94,12
19,1315,1,1,3,2,3,3,12.01,7.21,12
45,591,1,1,1,1,2,2,441.49,84.99,5
74,1017,0,1,6,1,2,2,1762.96,950.52,2
33,2123,0,1,5,1,2,1,1311.44,1167.18,6
57,2889,1,1,6,4,2,3,1890.39,260.14,4
0,3208,1,1,2,2,2,2,533.51,400.13,9
23,2406,1,1,4,3,1,1,688.63,612.88,2
67,2041,0,1,4,2,2,2,544.05,376.84,7
81,1598,1,1,4,1,2,1,586.45,521.94,7
58,1842,1,1,3,1,2,2,912.52,141.4,5
5,141,0,1,5,1,3,2,1129.13,677.48,5
94,1321,0,1,5,1,2,3,1635.3,993.66,9
51,183,0,1,3,1,3,2,2005.66,1203.4,5
59,2591,0,1,6,1,2,1,1415.01,1259.36,9
63,3356,1,1,1,1,2,2,1483.2,99.59,4
40,766,1,1,3,1,3,2,1458.17,874.9,5
80,1596,0,1,2,1,2,3,1469.44,596.55,1
82,520,0,1,4,1,3,2,1148.64,689.18,12
46,868,1,1,1,1,1,2,1289.85,74.51,3
78,2999,0,1,5,1,2,3,1765.3,709.48,9
72,352,1,1,4,1,2,2,360.4,270.3,11
75,1140,0,1,5,4,2,3,1873.97,863.95,6
40,621,0,1,2,2,2,3,1894.19,598.76,4
2,3307,0,1,5,2,1,1,590.26,525.33,11
10,1502,1,1,6,4,2,2,1466.68,363.25,4
35,936,0,1,5,1,2,2,1403.5,954.82,5
8,939,1,1,1,2,2,1,1703.52,1516.13,7
2,2698,0,1,5,2,1,1,590.26,525.33,11
69,579,1,1,5,2,2,2,792.9,594.68,4
54,2036,1,1,6,1,2,2,1292.84,13.44,3
8,3077,0,1,1,2,2,1,1703.52,1516.13,3
86,369,1,1,3,1,2,2,235.63,125.07,3
13,821,1,1,1,1,2,2,1163.89,589.27,4
19,2687,1,1,2,3,1,2,574.64,459.71,3
86,681,1,1,3,1,2,2,235.63,125.07,12
46,37,1,1,3,1,1,2,1793.43,248.82,8
30,3002,0,1,1,1,3,2,748.17,448.9,8
92,396,0,1,6,4,2,3,1890.39,260.14,9
71,550,1,1,1,1,3,3,1842.92,1105.75,9
77,1605,0,1,4,2,2,3,1240.31,795.1,7
7,2325,1,1,5,1,2,1,1311.44,1167.18,8
23,1420,1,1,4,3,1,1,688.63,612.88,3
12,3099,0,1,6,1,2,2,1231.15,161.6,10
61,1645,1,1,3,1,1,2,71.16,56.93,10
21,546,0,1,1,1,2,3,1071.23,380.74,11
86,2885,1,1,3,1,2,2,235.63,125.07,3
57,2740,0,1,6,4,2,3,1890.39,260.14,12
63,3166,1,1,1,1,2,2,1483.2,99.59,11
63,3487,1,1,6,1,2,2,1992.93,762.63,12
33,2890,1,1,5,1,2,1,1311.44,1167.18,9
98,3370,0,1,3,1,2,2,795.34,101.58,1
15,3393,1,1,4,1,1,2,958.74,748.9,1
57,2410,0,1,6,4,2,3,1890.39,260.14,7
61,3466,1,1,3,1,1,2,71.16,56.93,2
48,1454,0,0,6,1,2,2,1762.96,950.52,11
63,1967,,1,1,1,2,2,1483.2,99.59,4
78,3089,0,1,5,1,2,3,1765.3,709.48,12
2,3123,0,1,5,2,1,1,590.26,525.33,12
67,2692,0,1,1,1,2,3,1071.23,380.74,7
67,2801,1,0,4,2,2,2,544.05,376.84,4
13,1580,1,1,1,1,2,2,1577.53,826.51,10
65,352,0,1,6,1,2,2,1807.45,778.69,3
49,1777,1,1,2,2,2,2,533.51,400.13,6
87,142,1,1,5,1,3,2,1179,707.4,7
31,3393,0,1,5,1,2,2,230.91,173.18,12
17,599,0,1,1,1,3,2,1024.66,614.8,5
91,1258,0,1,1,1,2,2,100.35,75.26,1
53,3405,1,1,3,1,2,2,795.34,101.58,10
38,3198,0,1,1,1,2,2,1577.53,826.51,1
20,834,0,1,2,1,2,1,1775.81,1580.47,6
44,3467,1,1,6,1,2,2,1769.64,108.76,11
69,3436,1,1,5,2,2,2,792.9,594.68,8
68,1516,0,1,3,1,2,2,1636.9,44.71,8
11,2833,1,1,5,1,3,2,1274.93,764.96,1
2,2362,0,1,1,1,2,2,71.49,53.62,2
27,2337,0,1,2,1,2,2,499.53,388.72,7
0,2149,1,1,2,1,3,2,358.39,215.03,4
81,2133,0,1,1,1,2,2,1151.96,649.49,5
6,360,1,1,3,1,3,2,227.88,136.73,5
76,2969,1,1,6,1,1,2,642.31,513.85,2
18,1720,0,1,1,1,2,2,575.27,431.45,4
18,2904,0,1,4,1,3,2,1148.64,689.18,3
9,754,0,1,3,2,2,2,742.54,667.4,6
35,1826,0,1,5,1,2,2,1403.5,954.82,4
93,2487,0,1,6,1,2,2,1065.03,230.09,4
40,2815,0,1,3,1,3,2,1458.17,874.9,2
1,541,0,1,5,1,2,2,1403.5,954.82,5
16,302,0,1,4,1,3,1,1661.92,1479.11,3
44,2024,1,1,6,1,2,2,1769.64,108.76,10
48,142,1,1,6,1,2,2,1762.96,950.52,7
56,768,1,1,3,1,2,2,183.86,137.9,8
36,2147,1,1,1,1,1,2,1289.85,74.51,2
36,529,1,1,1,1,1,2,945.04,507.58,11
13,825,0,1,1,1,2,2,1163.89,589.27,2
55,624,1,1,2,2,2,3,1894.19,598.76,4
38,2302,0,1,1,1,2,2,1577.53,826.51,11
64,3380,0,1,5,1,3,1,1977.36,1759.85,10
0,314,0,1,3,1,3,2,227.88,136.73,11
79,1079,1,1,4,1,2,2,1555.58,818.01,8
11,1643,1,1,5,1,3,2,1274.93,764.96,1
91,1524,1,1,1,1,2,2,100.35,75.26,3
18,3205,1,1,1,1,2,2,575.27,431.45,4
17,2860,1,1,1,1,3,2,1024.66,614.8,11
13,772,0,1,1,1,2,2,1163.89,589.27,5
4,323,1,1,5,1,3,2,1129.13,677.48,3
78,2530,,1,5,1,2,3,1765.3,709.48,3
42,2426,1,1,3,2,2,1,1810,1610.9,3
48,1883,0,1,6,1,2,2,1762.96,950.52,11
12,2745,0,1,6,1,2,2,1231.15,161.6,4
77,2819,0,1,4,2,2,3,1240.31,795.1,1
25,792,0,1,3,1,3,2,2005.66,1203.4,12
35,923,0,1,5,1,2,2,1403.5,954.82,4
7,3353,0,1,2,2,1,2,980.37,234.43,7
68,3394,0,1,3,1,2,2,1636.9,44.71,11
75,3213,0,1,5,4,2,3,1873.97,863.95,10
77,3260,0,1,6,1,2,2,1769.64,108.76,3
1,1015,0,1,5,1,2,2,1403.5,954.82,12
81,2266,0,1,1,1,2,2,1151.96,649.49,1
6,58,1,1,3,1,3,2,227.88,136.73,8
40,3118,1,1,2,2,2,3,1894.19,598.76,12
62,1414,0,1,1,1,2,2,478.16,298.72,8
90,2202,1,1,4,1,1,2,363.01,290.41,6
32,2144,1,1,5,1,2,2,642.7,211.37,5
65,1033,1,1,6,1,2,2,1807.45,778.69,10
15,2157,1,1,4,1,1,2,958.74,748.9,6
36,1097,0,1,1,1,1,2,945.04,507.58,1
12,2757,0,1,6,1,2,2,1231.15,161.6,4
67,87,1,1,4,2,2,2,544.05,376.84,11
87,2049,0,1,3,1,2,2,1636.9,44.71,10
62,952,1,1,1,1,2,2,478.16,298.72,11
55,1745,0,1,2,2,2,3,1894.19,598.76,1
1,40,1,1,5,1,2,2,1403.5,954.82,5
98,372,1,1,2,1,3,2,358.39,215.03,10
79,1627,1,1,4,1,2,2,1555.58,818.01,8
1,444,0,1,5,1,2,2,1403.5,954.82,11
