customer_id,gender,past_3_years_bike_related_purchases,job_industry_category,wealth_segment,owns_car,tenure,Age,state,property_valuation,sales_profit
1,1,93,1.0,1,1,11.0,64.0,2.0,10.0,3018.0899999999992
2,0,81,2.0,1,1,16.0,37.0,2.0,10.0,2226.26
3,0,61,3.0,1,1,15.0,63.0,2.0,7.0,3362.81
4,0,33,4.0,1,0,7.0,56.0,1.0,9.0,220.57
5,1,56,7.0,2,1,8.0,40.0,2.0,4.0,2394.94
6,0,35,5.0,3,1,13.0,51.0,3.0,9.0,3946.55
7,1,6,2.0,2,1,11.0,41.0,2.0,9.0,220.11
8,0,31,7.0,1,0,7.0,55.0,2.0,4.0,7066.94
9,1,97,6.0,2,1,8.0,44.0,2.0,12.0,2353.11
10,1,49,2.0,1,1,20.0,29.0,2.0,7.0,3358.2799999999997
11,0,99,3.0,1,0,9.0,63.0,3.0,8.0,3638.8399999999997
12,0,58,7.0,1,0,8.0,23.0,1.0,4.0,3540.0299999999997
13,0,38,2.0,3,1,8.0,62.0,3.0,6.0,4337.38
14,1,85,2.0,2,0,6.0,34.0,2.0,8.0,1713.9
15,0,91,7.0,1,0,1.0,17.0,2.0,9.0,1728.3899999999999
16,0,38,7.0,1,1,18.0,40.0,3.0,4.0,4521.84
17,0,57,7.0,2,1,15.0,55.0,3.0,9.0,2015.6100000000001
18,1,79,7.0,2,0,11.0,50.0,2.0,12.0,3543.3799999999997
19,1,76,7.0,3,0,1.0,16.0,2.0,9.0,2951.79
20,0,72,7.0,1,0,11.0,37.0,2.0,8.0,3608.2799999999997
21,0,74,7.0,2,1,16.0,37.0,2.0,7.0,4229.41
22,1,79,4.0,1,0,11.0,55.0,2.0,7.0,5159.84
23,0,43,7.0,3,1,1.0,22.0,2.0,7.0,4376.150000000001
24,1,55,6.0,1,1,15.0,40.0,2.0,10.0,3689.35
25,0,72,2.0,1,1,21.0,41.0,1.0,3.0,5333.660000000001
26,1,12,2.0,1,1,16.0,39.0,1.0,5.0,268.24
27,0,37,1.0,1,1,12.0,39.0,3.0,7.0,3274.2500000000005
28,0,5,1.0,2,1,21.0,44.0,1.0,4.0,3366.5599999999995
29,1,62,7.0,1,0,19.0,49.0,1.0,7.0,6175.299999999999
30,0,18,4.0,2,1,6.0,56.0,2.0,11.0,2633.95
31,1,3,8.0,3,1,14.0,55.0,2.0,12.0,426.11
32,1,17,7.0,2,0,4.0,22.0,2.0,9.0,2823.12
33,0,44,7.0,2,1,11.0,60.0,2.0,9.0,5294.27
35,1,40,1.0,3,1,16.0,54.0,1.0,6.0,3706.51
36,1,33,7.0,2,0,22.0,40.0,2.0,8.0,204.36
37,1,46,1.0,3,0,16.0,32.0,1.0,1.0,6338.49
38,1,37,2.0,2,0,20.0,62.0,1.0,4.0,2025.3399999999997
39,0,5,9.0,1,0,22.0,38.0,2.0,10.0,6085.17
40,1,91,7.0,2,0,14.0,36.0,2.0,8.0,4552.1
41,0,64,1.0,1,0,16.0,41.0,3.0,9.0,4698.889999999999
42,1,24,7.0,1,0,18.0,40.0,3.0,10.0,427.04
43,1,38,5.0,1,0,5.0,34.0,1.0,8.0,3619.9500000000003
44,0,63,9.0,2,1,17.0,36.0,1.0,2.0,4768.28
45,0,64,2.0,1,0,8.0,42.0,2.0,3.0,1048.15
46,1,98,7.0,2,1,15.0,45.0,3.0,6.0,1623.63
47,0,51,1.0,2,0,2.0,25.0,2.0,4.0,4332.1900000000005
48,1,46,7.0,1,1,8.0,42.0,3.0,9.0,5561.08
49,0,63,7.0,2,0,1.0,23.0,2.0,9.0,4248.68
50,0,38,7.0,1,1,16.0,37.0,2.0,10.0,5783.66
51,0,68,5.0,1,0,18.0,58.0,1.0,5.0,4855.4
52,0,57,2.0,1,1,13.0,29.0,2.0,8.0,5417.83
53,1,22,2.0,1,0,16.0,63.0,1.0,3.0,2950.07
54,1,2,3.0,1,1,18.0,51.0,2.0,8.0,4098.210000000001
55,0,48,2.0,2,1,7.0,61.0,2.0,10.0,3220.86
56,0,44,3.0,1,1,4.0,21.0,2.0,10.0,1275.24
57,0,87,7.0,1,1,13.0,29.0,1.0,6.0,5117.96
