customer_id,brand,purchase_month,sales_profit
2950,1,2,17.87
3120,2,5,1702.55
402,3,10,1544.61
3135,4,8,817.36
787,5,10,1055.82
2339,5,3,709.34
1542,6,4,15.08
2459,6,7,1279.4
1305,1,8,690.49
3262,6,8,1069.55
1986,2,1,114.93
2783,3,1,14.23
1243,2,2,903.11
2717,4,9,182.81
247,5,6,1055.82
2961,2,10,1702.55
2426,4,4,737.57
1842,5,6,144.26
2268,6,4,1279.4
3002,5,1,709.34
1582,2,10,110.81
595,3,6,1544.61
2001,3,4,1544.61
515,5,10,709.34
2822,6,6,1305.25
2596,2,1,872.89
2666,2,4,872.89
76,2,12,114.93
3368,4,10,90.1
1173,6,3,128.46
2810,4,9,817.36
3214,5,2,448.68
1272,5,3,709.34
2003,2,2,189.28
2171,4,8,167.21
3356,6,7,155.65
1040,1,1,737.17
2916,1,12,17.87
427,6,9,1069.55
2448,4,11,167.21
2570,6,5,1660.88
3398,1,5,1408.91
488,6,3,128.46
165,1,12,1215.34
2787,2,6,1295.43
3053,1,6,574.62
475,2,5,903.11
1305,1,6,502.47
1251,3,6,110.56
3103,5,5,431.33
3108,4,3,445.21
857,5,11,641.64
3455,3,12,91.15
2549,2,2,110.81
3140,4,9,72.6
3406,2,11,189.28
2294,5,8,641.64
1031,1,11,25.09
993,3,2,583.27
3473,5,12,217.51
1839,3,2,4.8
1824,5,12,144.26
368,5,12,448.68
2000,2,7,110.81
825,4,5,133.78
3315,3,2,110.56
75,1,7,17.87
1498,5,9,451.65
1612,2,10,1702.55
2192,2,5,110.81
419,6,1,1279.4
3307,6,5,1660.88
2430,6,7,15.08
1506,3,1,45.96
1346,3,6,771.12
927,6,3,15.08
763,6,6,43.97
2397,3,11,139.23
102,5,9,471.6
2884,4,12,209.84
759,5,10,198.22
773,1,4,690.49
3398,3,4,110.56
3297,5,11,144.26
2434,2,2,75.48
1861,5,7,448.68
1233,2,5,110.81
1390,6,8,547.28
2682,3,4,4.8
439,1,8,179.44
1579,1,4,409.86
2984,1,7,1612.25
3470,5,11,144.26
1,3,12,110.56
757,1,2,356.5
1778,5,2,448.68
211,3,5,139.23
333,2,6,133.38
32,5,3,41.13
119,1,7,179.44
2347,4,7,459.46
2353,5,4,451.65
788,5,11,144.26
1468,5,9,1055.82
821,6,10,1305.25
2489,2,2,198.29
2710,4,12,737.57
947,6,10,1230.3
1335,5,3,1230.27
1076,1,11,437.46
3320,3,6,14.23
