customer_id,online_order,brand,list_price,standard_cost,purchase_month
2950,0,4,71.49,53.62,2
3120,1,2,2091.47,388.92,5
402,0,3,1793.43,248.82,10
3135,0,4,1198.46,381.1,8
787,1,5,1765.3,709.48,10
2339,1,5,1538.99,829.65,3
1542,1,6,60.34,45.26,4
2459,0,6,1292.84,13.44,7
1305,0,4,1071.23,380.74,8
3262,1,6,1231.15,161.6,8
1986,0,2,574.64,459.71,1
2783,1,3,71.16,56.93,1
1243,1,2,1057.51,154.4,2
2717,0,4,1661.92,1479.11,9
247,0,5,1765.3,709.48,6
2961,0,2,2091.47,388.92,10
2426,0,4,1555.58,818.01,4
1842,0,5,1311.44,1167.18,6
2268,1,6,1292.84,13.44,4
3002,1,5,1538.99,829.65,1
1582,0,2,499.53,388.72,10
595,1,3,1793.43,248.82,6
2001,1,3,1793.43,248.82,4
515,0,5,1538.99,829.65,10
2822,0,6,1362.99,57.74,6
2596,0,2,1469.44,596.55,1
2666,1,2,1469.44,596.55,4
76,0,2,574.64,459.71,12
3368,1,4,360.4,270.3,10
1173,0,6,642.31,513.85,3
2810,1,4,1198.46,381.1,9
3214,0,5,1403.5,954.82,2
1272,0,5,1538.99,829.65,3
2003,1,2,1720.7,1531.42,2
2171,0,4,544.05,376.84,8
3356,0,6,1415.01,1259.36,7
1040,0,4,1842.92,1105.75,1
2916,0,4,71.49,53.62,12
427,0,6,1231.15,161.6,9
2448,1,4,544.05,376.84,11
2570,1,6,1769.64,108.76,5
3398,0,4,2083.94,675.03,5
488,0,6,642.31,513.85,3
165,0,4,1289.85,74.51,12
2787,1,2,1894.19,598.76,6
3053,0,4,1163.89,589.27,6
475,1,2,1057.51,154.4,5
1305,1,4,1151.96,649.49,6
1251,0,3,235.63,125.07,6
3103,0,5,642.7,211.37,5
3108,0,4,1240.31,795.1,3
857,0,5,1635.3,993.66,11
3455,1,3,227.88,136.73,12
2549,1,2,499.53,388.72,2
3140,0,4,363.01,290.41,9
3406,0,2,1720.7,1531.42,11
2294,1,5,1635.3,993.66,8
1031,0,4,100.35,75.26,11
993,1,3,1458.17,874.9,2
3473,0,5,1977.36,1759.85,12
1839,0,3,12.01,7.21,2
1824,1,5,1311.44,1167.18,12
368,0,5,1403.5,954.82,12
2000,0,2,499.53,388.72,7
825,1,4,1216.14,1082.36,5
3315,1,3,235.63,125.07,2
75,1,4,71.49,53.62,7
1498,1,5,1129.13,677.48,9
1612,1,2,2091.47,388.92,10
2192,1,2,499.53,388.72,5
419,0,6,1292.84,13.44,1
3307,1,6,1769.64,108.76,5
2430,0,6,60.34,45.26,7
1506,1,3,183.86,137.9,1
1346,0,3,912.52,141.4,6
927,0,6,60.34,45.26,3
763,0,6,175.89,131.92,6
2397,0,3,1073.07,933.84,11
102,1,5,1179,707.4,9
2884,0,4,958.74,748.9,12
759,1,5,792.9,594.68,10
773,1,4,1071.23,380.74,4
3398,1,3,235.63,125.07,4
3297,1,5,1311.44,1167.18,11
2434,1,2,290.62,215.14,2
1861,0,5,1403.5,954.82,7
1233,0,2,499.53,388.72,5
1390,0,6,752.64,205.36,8
2682,1,3,12.01,7.21,4
439,1,4,478.16,298.72,8
1579,1,4,1024.66,614.8,4
2984,1,4,1945.43,333.18,7
3470,1,5,1311.44,1167.18,11
1,0,3,235.63,125.07,12
757,0,4,441.49,84.99,2
1778,0,5,1403.5,954.82,2
211,1,3,1073.07,933.84,5
333,,2,533.51,400.13,6
32,0,5,569.56,528.43,3
119,0,4,478.16,298.72,7
2347,0,4,1148.64,689.18,7
2353,0,5,1129.13,677.48,4
788,0,5,1311.44,1167.18,11
1468,0,5,1765.3,709.48,9
821,0,6,1362.99,57.74,10
2489,0,2,495.72,297.43,2
2710,0,4,1555.58,818.01,12
947,1,6,1992.93,762.63,10
1335,1,5,1812.75,582.48,3
1076,0,4,945.04,507.58,11
3320,1,3,71.16,56.93,6
779,0,5,792.9,594.68,10
3296,1,2,358.39,215.03,6
455,1,5,1873.97,863.95,10
1779,0,6,642.31,513.85,5
2703,1,4,360.4,270.3,11
806,0,3,1810,1610.9,3
22,0,2,1775.81,1580.47,3
1591,0,2,1469.44,596.55,2
678,0,2,495.72,297.43,6
50,0,5,1538.99,829.65,12
1038,1,4,1777.8,820.78,12
1453,1,6,752.64,205.36,3
1339,0,3,795.34,101.58,3
3382,1,4,575.27,431.45,1
773,0,3,795.34,101.58,4
2503,1,2,290.62,215.14,3
1057,0,5,1538.99,829.65,2
1397,0,6,175.89,131.92,6
2134,0,6,1769.64,108.76,9
2403,1,6,1172.78,1043.77,1
1937,0,6,1231.15,161.6,9
1282,1,6,1065.03,230.09,9
2183,0,5,1765.3,709.48,5
1788,0,5,792.9,594.68,10
1170,1,6,1807.45,778.69,4
431,0,,1942.61,,9
1940,0,6,1065.03,230.09,8
2073,0,5,1179,707.4,3
462,0,5,1274.93,764.96,1
2728,0,4,1945.43,333.18,12
2053,0,4,1289.85,74.51,12
2135,1,5,1977.36,1759.85,1
1217,0,6,1890.39,260.14,12
2992,1,2,980.37,234.43,6
3261,1,4,416.98,312.74,4
2748,1,4,544.05,376.84,4
3262,0,2,1386.84,1234.29,1
788,0,6,1362.99,57.74,3
3067,1,3,742.54,667.4,11
701,0,5,230.91,173.18,11
648,0,6,1415.01,1259.36,10
3286,1,3,1793.43,248.82,8
3383,1,2,2091.47,388.92,4
982,1,4,688.63,612.88,11
676,1,4,1842.92,1105.75,8
385,1,4,748.17,448.9,9
1229,1,6,175.89,131.92,3
3232,0,6,1466.68,363.25,8
3300,0,,1656.86,,8
2381,0,5,792.9,594.68,7
371,0,5,1765.3,709.48,12
2519,1,3,1073.07,933.84,5
2264,0,4,1024.66,614.8,7
2637,1,2,2091.47,388.92,10
3262,0,5,1765.3,709.48,11
3177,,4,363.01,290.41,4
2267,0,5,1179,707.4,2
456,0,4,202.62,151.96,5
404,,3,227.88,136.73,10
3121,0,4,1036.59,206.35,10
2365,1,2,1894.19,598.76,4
2528,0,4,1036.59,206.35,11
3151,0,6,1466.68,363.25,12
3241,0,5,1538.99,829.65,12
1335,1,6,1228.07,400.91,3
2234,0,4,363.01,290.41,4
3226,1,3,183.86,137.9,7
1365,0,4,478.16,298.72,1
3349,1,2,1775.81,1580.47,3
1002,0,4,1024.66,614.8,2
2282,0,4,1661.92,1479.11,2
2656,0,4,1289.85,74.51,1
2409,1,4,1842.92,1105.75,7
1711,0,6,642.31,513.85,11
2582,1,4,1024.66,614.8,11
1005,1,5,1873.97,863.95,7
1597,1,2,2091.47,388.92,1
2713,1,3,183.86,137.9,1
1435,1,3,1793.43,248.82,11
1477,1,4,774.53,464.72,6
1614,1,5,230.91,173.18,7
1254,1,6,1231.15,161.6,6
1423,0,5,1538.99,829.65,5
276,0,4,586.45,521.94,12
1315,1,3,12.01,7.21,12
591,1,4,441.49,84.99,5
1017,0,6,1762.96,950.52,2
2123,0,5,1311.44,1167.18,6
2889,1,6,1890.39,260.14,4
3208,1,2,533.51,400.13,9
2406,1,4,688.63,612.88,2
2041,0,4,544.05,376.84,7
1598,1,4,586.45,521.94,7
1842,1,3,912.52,141.4,5
141,0,5,1129.13,677.48,5
1321,0,5,1635.3,993.66,9
183,0,3,2005.66,1203.4,5
2591,0,6,1415.01,1259.36,9
3356,1,4,1483.2,99.59,4
766,1,3,1458.17,874.9,5
1596,0,2,1469.44,596.55,1
520,0,4,1148.64,689.18,12
868,1,4,1289.85,74.51,3
2999,0,5,1765.3,709.48,9
352,1,4,360.4,270.3,11
1140,0,5,1873.97,863.95,6
621,0,2,1894.19,598.76,4
3307,0,5,590.26,525.33,11
1502,1,6,1466.68,363.25,4
936,0,5,1403.5,954.82,5
939,1,4,1703.52,1516.13,7
2698,0,5,590.26,525.33,11
579,1,5,792.9,594.68,4
2036,1,6,1292.84,13.44,3
3077,0,4,1703.52,1516.13,3
369,1,3,235.63,125.07,3
821,1,4,1163.89,589.27,4
2687,1,2,574.64,459.71,3
681,1,3,235.63,125.07,12
37,1,3,1793.43,248.82,8
3002,0,4,748.17,448.9,8
396,0,6,1890.39,260.14,9
